word,word_id
needes,1942
librarie,1943
dukedome,1944
large,1945
temporall,1946
roalties,1947
thinks,1948
incapable,1949
confederates,1950
drie,1951
sway,1952
naples,1953
annuall,1954
tribute,1955
subiect,1956
coronet,1957
crowne,1958
bend,1959
dukedom,1960
vnbow,1961
alas,1962
ignoble,1963
stooping,1964
condition,1965
euent,1966
sinne,1967
noblie,1968
grand,1969
wombes,1970
bad,1971
sonnes,1972
enemy,1973
inueterate,1974
hearkens,1975
brothers,1976
suit,1977
lieu,1978
premises,1979
presently,1980
extirpate,1981
confer,1982
faire,1983
honors,1984
whereon,1985
treacherous,1986
armie,1987
leuied,1988
mid,1989
fated,1990
gates,1991
ith,1992
darkenesse,1993
ministers,1994
hurried,1995
crying,1996
mir,1997
alack,1998
pitty,1999
remembring,2000
cride,2001
hint,2002
wrings,2003
businesse,2004
story,2005
impertinent,2006
wherefore,2007
howre,2008
destroy,2009
demanded,2010
prouokes,2011
question,2012
deare,2013
durst,2014
people,2015
bore,2016
bloudy,2017
colours,2018
fairer,2019
painted,2020
foule,2021
barke,2022
leagues,2023
rotten,2024
carkasse,2025
butt,2026
rigg,2027
tackle,2028
sayle,2029
rats,2030
instinctiuely,2031
quit,2032
hoyst,2033
roard,2034
sigh,2035
windes,2036
whose,2037
sighing,2038
backe,2039
louing,2040
cherubin,2041
preserue,2042
didst,2043
smile,2044
infused,2045
fortitude,2046
heauen,2047
deck,2048
drops,2049
salt,2050
vnder,2051
burthen,2052
groan,2053
rais,2054
vndergoing,2055
stomacke,2056
beare,2057
vp,2058
ensue,2059
shore,2060
prouidence,2061
diuine,2062
food,2063
neopolitan,2064
charity,2065
appointed,2066
designe,2067
rich,2068
garments,2069
linnens,2070
stuffs,2071
necessaries,2072
steeded,2073
gentlenesse,2074
furnishd,2075
library,2076
prize,2077
sorrow,2078
iland,2079
arriu,2080
schoolemaster,2081
vainer,2082
howres,2083
tutors,2084
heuens,2085
thank,2086
beating,2087
reason,2088
raysing,2089
far,2090
accident,2091
strange,2092
bountifull,2093
lady,2094
enemies,2095
brought,2096
prescience,2097
zenith,2098
depend,2099
auspitious,2100
omit,2101
fortunes,2102
after,2103
droope,2104
cease,2105
questions,2106
inclinde,2107
sleepe,2108
dulnesse,2109
chuse,2110
seruant,2111
ready,2112
ariel,2113
ari,2114
haile,2115
graue,2116
pleasure,2117
fly,2118
swim,2119
diue,2120
ride,2121
curld,2122
clowds,2123
strong,2124
bidding,2125
taske,2126
qualitie,2127
spirit,2128
performd,2129
ar,2130
article,2131
boorded,2132
beake,2133
waste,2134
decke,2135
cabyn,2136
flam,2137
sometime,2138
ld,2139
diuide,2140
burne,2141
yards,2142
spritt,2143
flame,2144
distinctly,2145
meete,2146
ioyne,2147
ioues,2148
precursers,2149
dreadfull,2150
claps,2151
momentarie,2152
sight,2153
cracks,2154
sulphurous,2155
roaring,2156
neptune,2157
seeme,2158
besiege,2159
bold,2160
waues,2161
tremble,2162
yea,2163
dread,2164
trident,2165
firme,2166
constant,2167
coyle,2168
infect,2169
felt,2170
feauer,2171
madde,2172
tricks,2173
desperation,2174
plung,2175
foaming,2176
bryne,2177
sonne,2178
ferdinand,2179
haire,2180
staring,2181
reeds,2182
leapt,2183
hell,2184
empty,2185
diuels,2186
nye,2187
ariell,2188
safe,2189
perishd,2190
sustaining,2191
blemish,2192
fresher,2193
badst,2194
troops,2195
dispersd,2196
bout,2197
isle,2198
landed,2199
cooling,2200
ayre,2201
sighes,2202
angle,2203
sitting,2204
armes,2205
sad,2206
knot,2207
marriners,2208
disposd,2209
fleete,2210
harbour,2211
shippe,2212
deepe,2213
nooke,2214
calldst,2215
fetch,2216
dewe,2217
vext,2218
bermoothes,2219
hatches,2220
stowed,2221
ioynd,2222
suffred,2223
asleep,2224
fleet,2225
dispers,2226
met,2227
mediterranian,2228
flote,2229
sadly,2230
home,2231
supposing,2232
wrackt,2233
charge,2234
exactly,2235
perform,2236
season,2237
glasses,2238
twixt,2239
spent,2240
preciously,2241
toyle,2242
y,2243
dost,2244
pains,2245
promis,2246
moodie,2247
demand,2248
libertie,2249
prethee,2250
seruice,2251
told,2252
lyes,2253
mistakings,2254
serv,2255
grudge,2256
grumblings,2257
promise,2258
bate,2259
yeere,2260
forget,2261
torment,2262
thinkst,2263
ooze,2264
sharpe,2265
north,2266
veines,2267
bak,2268
frost,2269
liest,2270
malignant,2271
forgot,2272
witch,2273
sycorax,2274
enuy,2275
growne,2276
hoope,2277
born,2278
speak,2279
argier,2280
moneth,2281
recount,2282
forgetst,2283
damn,2284
mischiefes,2285
manifold,2286
sorceries,2287
terrible,2288
humane,2289
hearing,2290
banish,2291
wold,2292
blew,2293
ey,2294
hag,2295
child,2296
saylors,2297
slaue,2298
reportst,2299
delicate,2300
act,2301
earthy,2302
abhord,2303
commands,2304
refusing,2305
hests,2306
confine,2307
helpe,2308
potent,2309
vnmittigable,2310
clouen,2311
pyne,2312
rift,2313
imprison,2314
painefully,2315
remaine,2316
dozen,2317
space,2318
di,2319
vent,2320
groanes,2321
mill,2322
wheeles,2323
island,2324
saue,2325
son,2326
littour,2327
frekelld,2328
whelpe,2329
shape,2330
yes,2331
caliban,2332
dull,2333
grones,2334
wolues,2335
howle,2336
penetrate,2337
breasts,2338
angry,2339
beares,2340
vndoe,2341
thanke,2342
murmur,2343
rend,2344
oake,2345
peg,2346
knotty,2347
entrailes,2348
howl,2349
pardon,2350
correspondent,2351
spryting,2352
gently,2353
daies,2354
discharge,2355
goe,2356
nymph,2357
inuisible,2358
eye,2359
ball,2360
else,2361
diligence,2362
awake,2363
slept,2364
strangenes,2365
heauinesse,2366
ll,2367
yeelds,2368
kinde,2369
